title title=一ノ瀬怜 3話 アイドルとして
narration text=――ダンス大会当日 
message text=だって私が―― name=一ノ瀬怜 
message text=誰よりもサニーピースのダンスを好きだから！ name=一ノ瀬怜 
message text=みなさん！　今日は私のダンスを楽しんでくれて name=一ノ瀬怜 
message text=ありがとうございました！ name=一ノ瀬怜 
narration text=――大会終了後 
message text=授賞式が終わって、怜はあの子と話し込んでいるな name={user} 
message text=今日のステージで怜の思いは伝わったはずだが…… name={user} 
message text=それでエリカ、私に話って何かしら name=一ノ瀬怜 
message text=……怜のステージ、凄かったわ name=平島エリカ 
message text=悔しいけど、私の負けよ name=平島エリカ 
message text=アイドルなんかに負けて、本っっっ当に悔しいけど name=平島エリカ 
message text=前から聞きたかったんだけど name=一ノ瀬怜 
message text=どうしてエリカはそんなにアイドルを毛嫌いするの？ name=一ノ瀬怜 
message text=だって、ずっと競い合ってきた最高のライバルを name=平島エリカ 
message text=アイドルに取られたのよ。そりゃ嫌いにだってなるわよ name=平島エリカ 
message text=でも、まさかそのアイドルのパフォーマンスで name=平島エリカ 
message text=他の参加者を圧倒するなんて…… name=平島エリカ 
message text=昔から怜は私の想像を軽々と超えていくのよね name=平島エリカ 
message text=本当に嫌になるわ name=平島エリカ 
message text=そう言うエリカのダンスも凄かったわよ name=一ノ瀬怜 
message text=技術だけなら私より上だったかも…… name=一ノ瀬怜 
message text=今日の大会はいい刺激になったわ name=一ノ瀬怜 
message text=それに、久しぶりにエリカと競い合えて楽しかった name=一ノ瀬怜 
message text=……ねぇ、本当にダンサーに戻る気はないの？ name=平島エリカ 
message text=これからもアイドルとして踊り続けるの？ name=平島エリカ 
message text=ええ。今はアイドルの方が楽しいから name=一ノ瀬怜 
message text=……それに、一緒に踊りたい仲間がいるから name=一ノ瀬怜 
message text=……怜はいい出会いをしたのね name=平島エリカ 
message text=あんたの活躍、楽しみにしてるわ name=平島エリカ 
message text={user}さん、お待たせしました name=一ノ瀬怜 
message text=彼女との話は済んだのか？ name={user} 
message text=はい。これで思い残すことは……あ、そういえばまだ name=一ノ瀬怜 
message text={user}さんの感想を聞いていませんね name=一ノ瀬怜 
message text=私のダンス、どうでしたか？ name=一ノ瀬怜 
message text=見惚れるくらい素晴らしいステージだったよ name={user} 
message text=怜はまた一段とうまくなったな name={user} 
message text=ふふ……もしかして、{user}さん name=一ノ瀬怜 
message text=私に惚れちゃいましたか？ name=一ノ瀬怜 
message text=え？ name={user} 
message text=……え？　あ、私、テンション上がっちゃって…… name=一ノ瀬怜 
message text=何言ってるんだろう…… name=一ノ瀬怜 
message text=……怜、顔が赤いぞ name={user} 
message text=もう……からかわないで下さい！ name=一ノ瀬怜 
message text=ほら、さっさと帰りますよ！ name=一ノ瀬怜 
