title title=一ノ瀬怜 2話 冷たくて気持ちいい
narration text=――ジャングル探検ロケ、当日 
message text=こういうのも夏っぽくていいわね name=一ノ瀬怜 
message text=それにしても泳げそうなくらい大きな湖だわ name=一ノ瀬怜 
message text=泳げそうなくらい…… name=一ノ瀬怜 
message text=今は水着だし、少しくらいハメを外してもいいわよね？ name=一ノ瀬怜 
message text=うふふ…… name=一ノ瀬怜 
message text=はっ！　今、草むらが動いたような……誰かいるの？ name=一ノ瀬怜 
message text=……えっ、さくら！？　それにみんなも？ name=一ノ瀬怜 
message text=違うの、これはサボっていた訳じゃなくて…… name=一ノ瀬怜 
message text=えっ、水浴びしてはしゃいでいる私が可愛かった？ name=一ノ瀬怜 
message text=うぅ…… name=一ノ瀬怜 
message text=恥ずかしいからそんなにジロジロ見ないで…… name=一ノ瀬怜 
message text=なるほど。水浴びをしながら気持ち良く name={user} 
message text=鼻歌を歌っているところをみんなに見られたのか name={user} 
message text=あの時は凄く恥ずかしかったです…… name=一ノ瀬怜 
message text=しかもその後、みんなも湖に飛び込んで、水浴びしたり name=一ノ瀬怜 
message text=泳いだり、ばしゃばしゃ水を掛け合ったりして…… name=一ノ瀬怜 
message text=そのせいで、いかだ作りのスケジュールが name=一ノ瀬怜 
message text=予定より遅れることになったんですよ name=一ノ瀬怜 
message text=たかが水遊びであんなにはしゃぐなんて name=一ノ瀬怜 
message text=みんな子供ですよね name=一ノ瀬怜 
message text=そういう怜も一緒になって遊んだんだろ？ name={user} 
message text=う……そ、それより、そろそろ絶景スポットに name=一ノ瀬怜 
message text=着く頃ですよね？　絶景はまだ見えないんでしょうか name=一ノ瀬怜 
message text=ごまかしたな…… name={user} 
message text=だが、確かにそれらしい景色は見当たらないな name={user} 
message text=あら？　前を歩いていたガイドさんが name=一ノ瀬怜 
message text=近くにある洞窟を指差して何か言ってますね name=一ノ瀬怜 
message text=ガイドから話を聞いてきたんだが name={user} 
message text=どうやら洞窟の中に絶景スポットがあるらしい name={user} 
message text=この洞窟、人一人がやっと通れるくらいの狭さですね name=一ノ瀬怜 
message text=中は真っ暗で何も見えません name=一ノ瀬怜 
message text=狭い洞窟だから、大人数では入れないそうだ name={user} 
message text=残念だが、俺が同行出来るのはここまでだな name={user} 
message text={user}さんは name=一ノ瀬怜 
message text=一緒に行ってくれないんですか？ name=一ノ瀬怜 
message text=もしかして洞窟に入るのが怖いのか？ name={user} 
message text=暗い所が苦手なんて、怜は怖がりだな name={user} 
message text=こ、怖くなんかありません！　私は一人でも平気です！ name=一ノ瀬怜 
message text=むしろ一人の方が気が楽です！ name=一ノ瀬怜 
message text=見ていて下さい、ささっと行って帰って来ますから name=一ノ瀬怜 
message text=……だから、ちゃんと待ってて下さいね name=一ノ瀬怜 
message text=先に帰ったりしたら許しませんから name=一ノ瀬怜 
