title title=一ノ瀬怜 2話 みんなと一緒に進むこと
narration text=――怜が仕事に復帰してから、数日後 
message text=今度こそ、絶対に……！ name=一ノ瀬怜 
narration text=――数日後 
message text=イベントに向けて、怜と遙子さんのユニットも name={user} 
message text=順調に仕上がってきているな name={user} 
message text=ユニットバトルの時はずっとピリピリしていた怜も name={user} 
message text=すっかり落ち着いて、練習も和やかな雰囲気だ name={user} 
message text={user}さん name=一ノ瀬怜 
message text=お先に失礼します name=一ノ瀬怜 
message text=えっ、もう上がるのか？ name={user} 
message text=怜はまだまだ余力がありそうに見えたが…… name={user} 
message text=この間は練習をし過ぎたせいで疲れが溜まって name=一ノ瀬怜 
message text=ミスに繋がりましたから name=一ノ瀬怜 
message text=今回は遙子さんの意見を取り入れて name=一ノ瀬怜 
message text=無理のない軽めの練習でいくことにしたんです name=一ノ瀬怜 
message text=今までの怜とは真逆の方針だが、それで平気なのか？ name={user} 
message text=遙子さんにも同じことを聞かれましたが、私に任せると name=一ノ瀬怜 
message text=焦ったり無理したり突っ走ったりしてしまいますから name=一ノ瀬怜 
message text=視野の広い遙子さんの意見に合わせた方が name=一ノ瀬怜 
message text=いい結果に繋がるはずです name=一ノ瀬怜 
message text=遙子さんのためにも、無理せず落ち着いて name=一ノ瀬怜 
message text=今度こそ、いい結果を出してみせます name=一ノ瀬怜 
message text=（確かに調子は良さそうだが、一方的に合わせるのも） name={user} 
message text=（それはそれでいいことなのか……？） name={user} 
narration text=――ライブイベントが間近に迫った、ある日 
message text=どうしよう……今更こんなこと…… name=一ノ瀬怜 
message text=やっぱりこのままの方が…… name=一ノ瀬怜 
message text=様子を見に来てみれば、案の定だな…… name={user} 
message text=怜、何かあったのか？ name={user} 
message text=あ、{user}さん name=一ノ瀬怜 
message text=いえ、大したことじゃありませんから name=一ノ瀬怜 
message text=そうは見えないぞ name={user} 
message text=悩みがあるなら、なんでも相談してくれ name={user} 
message text=悩みって……うぅ、そんなに私、分かりやすいかな name=一ノ瀬怜 
message text=でも、本当に大したことじゃないんです name=一ノ瀬怜 
message text=遙子さんと練習していて、もっと振り付けのレベルを name=一ノ瀬怜 
message text=上げてもいいんじゃないかと思ってしまって…… name=一ノ瀬怜 
message text=振り付けは大変になりますが name=一ノ瀬怜 
message text=その方がもっといいパフォーマンスになるかなって…… name=一ノ瀬怜 
message text=だが、イベントまであまり日数がないぞ name={user} 
message text=今から振り付けを難しくしたら…… name={user} 
message text=はい、どうしても練習時間を増やすことになります name=一ノ瀬怜 
message text=ここで無理をしたら、失敗した前回の二の舞です…… name=一ノ瀬怜 
message text=だから、答えは出てるんです name=一ノ瀬怜 
message text=このままの振り付けでいった方が…… name=一ノ瀬怜 
message text=でも、本心ではそう思っていないんだろ？ name={user} 
message text=だからそんなに悩んでいるんじゃないのか？ name={user} 
message text=わ、私がどう思うかは関係ありません name=一ノ瀬怜 
message text=遙子さんにも、ユニットバトルの時に話したんです name=一ノ瀬怜 
message text=焦らないでみんなと一緒に進んで行くって。もう無理に name=一ノ瀬怜 
message text=私のやり方に遙子さんを巻き込みたくありません name=一ノ瀬怜 
message text=怜、それは本当に name={user} 
message text=『みんなと一緒に進む』ことなのか？ name={user} 
message text=……え？ name=一ノ瀬怜 
message text=確かに、前回はやり方が悪かったかもしれない name={user} 
message text=だが、それで怜の全てが否定される訳じゃないだろ？ name={user} 
message text=怜には怜の考え方があるし、遙子さんには遙子さんの name={user} 
message text=考え方がある。それを踏まえて、二人で決めていく name={user} 
message text=それが、二人で…… name={user} 
message text=『みんなと一緒に進む』ことだと俺は思う name={user} 
message text=二人で、決めていく…… name=一ノ瀬怜 
message text=……確かに私は、我慢して自分の気持ちを抑え込んで name=一ノ瀬怜 
message text=遙子さんの歩幅に合わせて進もうとしてました name=一ノ瀬怜 
message text=でも、歩幅は一人で決めるものじゃない name=一ノ瀬怜 
message text=遙子さんと一緒に決めるものだったんですね name=一ノ瀬怜 
message text=ああ。一人の力では難しいことも、仲間と一緒なら name={user} 
message text=頑張れるし、さらにいい方向へ進んで行けるはずだ name={user} 
message text=……そうですね。一人で走るより、周りと一緒に name=一ノ瀬怜 
message text=頑張る方が私も成長出来る気がします name=一ノ瀬怜 
message text=さっそく遙子さんと相談して、最高のステージに name=一ノ瀬怜 
message text=なるように練習メニューを考え直します！ name=一ノ瀬怜 
message text=気合いを入れ過ぎて name={user} 
message text=突っ走らないようにな？ name={user} 
message text=もうっ、分かってますよ。お互いに納得出来るように name=一ノ瀬怜 
message text=落ち着いて、じっくり話し合ってみます！ name=一ノ瀬怜 
